state;action_reward;n_state
15098&1|7229&0|4207&0|8405&0|11627&0|1115&0|18062&0|18832&0|20185&0|12572&0;17474&0|15098&0|20477&1;15098&1|7229&0|4207&0|8405&0|11627&0|1115&0|18062&0|18832&0|20185&0|12572&0|17474&0|15098&0|20477&1
4546&0|12507&0|14700&0|8718&0|14652&0|8422&1|14047&1|11484&0|11945&1|8052&0;5703&0|19959&0|17645&1;4546&0|12507&0|14700&0|8718&0|14652&0|8422&1|14047&1|11484&0|11945&1|8052&0|5703&0|19959&0|17645&1
11958&1|18671&1|3417&0|3270&0|13170&0|14652&1|37&1|4447&0|8718&1|13187&0;11564&0|3698&0|13170&1;11958&1|18671&1|3417&0|3270&0|13170&0|14652&1|37&1|4447&0|8718&1|13187&0|11564&0|3698&0|13170&1
18444&0|7632&1|10800&1|1383&0|12592&0|5442&0|7168&0|10374&0|18402&0|18374&0;9557&0|17811&0|12102&0;18444&0|7632&1|10800&1|1383&0|12592&0|5442&0|7168&0|10374&0|18402&0|18374&0|9557&0|17811&0|12102&0
4192&1|10364&0|2494&0|11484&1|7162&0|8566&1|9853&0|4118&1|6779&0|13163&0;3500&1|13709&0|15732&0;4192&1|10364&0|2494&0|11484&1|7162&0|8566&1|9853&0|4118&1|6779&0|13163&0|3500&1|13709&0|15732&0
14989&0|2771&1|371&0|20082&0|14184&1|7614&1|1168&1|1590&1|14989&1|9052&1;1590&1|7614&1|16594&1;14989&0|2771&1|371&0|20082&0|14184&1|7614&1|1168&1|1590&1|14989&1|9052&1|1590&1|7614&1|16594&1
18911&1|2763&1|2241&1|2979&1|11055&1|14921&1|2241&1|18911&0|2979&1|1420&0;15207&1|1300&1|3137&1;18911&1|2763&1|2241&1|2979&1|11055&1|14921&1|2241&1|18911&0|2979&1|1420&0|15207&1|1300&1|3137&1
18075&1|18984&0|8981&0|1224&0|1224&0|19895&1|18940&0|4017&1|5564&0|3490&0;8981&1|12604&1|15581&1;18075&1|18984&0|8981&0|1224&0|1224&0|19895&1|18940&0|4017&1|5564&0|3490&0|8981&1|12604&1|15581&1
11913&0|13878&0|13694&0|10062&1|2271&0|4105&0|19652&0|8068&0|17729&0|10939&1;7498&1|2139&1|106&1;11913&0|13878&0|13694&0|10062&1|2271&0|4105&0|19652&0|8068&0|17729&0|10939&1|7498&1|2139&1|106&1
5619&0|1355&0|4863&1|3112&0|20727&0|20763&0|8324&0|14678&0|17734&0|16799&0;5733&0|7784&0|13176&0;5619&0|1355&0|4863&1|3112&0|20727&0|20763&0|8324&0|14678&0|17734&0|16799&0|5733&0|7784&0|13176&0
